"COMUNE","CODICE_COMUNE","ETA_MEDIA","PERC_MASCHILE","POPOLAZIONE","PERC_SI_EL22","BASSA_ISTR","ALTA_ISTR","PERC_STRANIERI","PERC_SI_CITTAD_REF25","POSIZIONE_GEO","NUM_VOTI_SI","NUM_VOTI_NO","SI_NO","PERC_SI","SUPERFICIE_kmq","INDICE_POVERTA","INDICE_DISUGUAGLIANZA","INDICE_CETO_MEDIO","DENSITA_Xkmq","FASCIA_POPOLAZIONE"
"AGNANA CALABRA",80002,48.844298245614,0.517543859649123,456,0.503225806451613,0.569047619047619,0.05,0.0328947368421053,0.694444444444444,"S",64,92,"no",0.41025641025641,8.4873,2.91224929711193,-1.69328776139567,-2.26579053269388,53.7273337810611,"Micro"
"AGNONE",94002,49.3364690439729,0.514110697877926,4571,0.409199808337326,0.403564453125,0.141357421875,0.0474732006125574,0.548954895489549,"S",934,991,"no",0.485194805194805,96.8489,-1.0180316761387,0.7031152900397,-0.104064238922838,47.1972319768216,"Piccolo"
"AGNOSINE",17003,47.7376449054301,0.51189749847468,1639,0.817777777777778,0.571922544951591,0.04149377593361,0.0665039658328249,0.54954954954955,"N",618,225,"si",0.733096085409253,13.5546,-1.06144542671124,0.39562859716538,0.530335330272068,120.918359818807,"Micro"
"AGORDO",25001,48.524259766111,0.476237870116945,4019,0.654703643284394,0.394580863674852,0.114592153542196,0.058969893008211,0.610975609756098,"N",1056,864,"si",0.55,23.7425,-1.31283748291376,0.0702216349219868,0.374153053325609,169.274507739286,"Piccolo"
"AGOSTA",58002,47.3134328358209,0.490149253731343,1675,0.634844868735084,0.442484121383204,0.063514467184192,0.0877611940298507,0.480243161094225,"C",442,310,"si",0.587765957446808,9.4997,-0.906532949662457,0.125782899720174,-0.643610553770285,176.321357516553,"Micro"
"AGRA",12001,48.2939632545932,0.488188976377953,381,0.650887573964497,0.451713395638629,0.0841121495327103,0.0971128608923885,0.473684210526316,"N",99,73,"si",0.575581395348837,2.8282,0.041083031836888,1.13197291194535,0.692237093703858,134.714659500743,"Micro"
"AGRATE BRIANZA",108001,44.8529318742488,0.493895882092479,15809,0.608080020784619,0.40520584725537,0.114782219570406,0.0965272945790373,0.625201195677167,"N",3955,4014,"no",0.496298155351989,11.2176,-1.31293208261202,0.0305196679614379,0.560742840499563,1409.30323776922,"Grande"
"AGRATE CONTURBIA",3001,47.1811868686869,0.513257575757576,1584,0.690886699507389,0.409950946040645,0.110021023125438,0.0486111111111111,0.633093525179856,"N",470,410,"si",0.534090909090909,14.5362,-1.33076831433031,1.06459273734961,1.00256663969741,108.969331737318,"Micro"
"AGRIGENTO",84001,46.1476507637733,0.489973213639325,55252,0.470852808889673,0.405951678234851,0.159030307964746,0.0475276913052921,0.647935526606315,"S",9016,11876,"no",0.431552747463144,243.5678,-0.395994481694069,-0.0225145304695186,0.802244756083214,226.844435101848,"Grande"
"AGROPOLI",65002,46.0305476045235,0.49279714701328,21311,0.505370201096892,0.377347354866402,0.15827878527739,0.0631598704894186,0.674305555555556,"S",4279,4787,"no",0.471983234061328,32.7893,-0.155740535938608,-0.0723917049275244,-0.00149083055757739,649.937632093396,"Grande"
"AGUGLIANO",42001,46.4850118611171,0.497304291567824,4637,0.488796680497925,0.419975932611312,0.109506618531889,0.0476601250808713,0.654804270462633,"C",925,1551,"no",0.373586429725363,21.8901,-1.02929347735039,0.151992607540703,-0.0797124511950104,211.830918999913,"Piccolo"
"AGUGLIARO",24001,45.5696926375983,0.491779842744818,1399,0.747237569060773,0.483454398708636,0.0564971751412429,0.0486061472480343,0.515037593984962,"N",447,257,"si",0.634943181818182,14.6955,-1.29417564058154,0.580752502317519,1.42101999797745,95.1992106427138,"Micro"
"AICURZIO",108002,47.0305825242718,0.488834951456311,2060,0.602365787079163,0.446119486320491,0.101619207146845,0.087378640776699,0.634105960264901,"N",552,536,"si",0.507352941176471,2.4677,-1.45396790691611,0.0233376840563672,-0.247025058555928,834.785427726223,"Micro"
"AIDOMAGGIORE",95002,50.8179419525066,0.49868073878628,379,0.414285714285714,0.626822157434402,0.0495626822157434,0.0422163588390501,0.765765765765766,"S",50,108,"no",0.316455696202532,41.2049,4.85172623515449,2.0621361447109,1.27325724503245,9.19793519702754,"Micro"
"AIDONE",86002,47.7058823529412,0.502280912364946,4165,0.379483952171177,0.54945652173913,0.0866847826086957,0.0641056422569028,0.677224736048265,"S",507,811,"no",0.384673748103187,210.776,-0.585680765832198,0.966780657614154,0.0705921066759151,19.760314267279,"Piccolo"
"AIELLI",66002,48.4204379562044,0.498540145985401,1370,0.467275494672755,0.420918367346939,0.107993197278912,0.0970802919708029,0.642857142857143,"S",313,366,"no",0.460972017673049,37.5165,0.942195288740886,-0.788767593395794,0.691016419117219,36.5172657364093,"Micro"
